System Efficiency between SCOTTS RD REGULATOR (29355) and T14/1 (65041)
for period 2019-12-16 00:00 to 2020-01-17 00:00

System Efficiency (%):, 98.9

Diverted (ML):, 9217.6 0.0
Delivered (ML):, 9112.1
Evaporative loss (ML):, 71.7
Rainfall (ML):, 0.8
Seepage loss (ML):, not yet implemented
Unaccounted loss (ML):, 34.6

Outlets
Telemetered:, 166
Manually read:, 51 
Unmetered sites:, 4
Total:, 221
36 manually read meters are missing up to date readings.
outlet,object_id,RTU_totaliser (ML),flow_integral (ML),manual_reading (ML),diff,FG_calc (ML)
M1845/1,64603,6.917,6.886,,0.447,
M1845A/P,64606,,,0.000,,
N134/P,148390,,,,,
M1846/1,64609,5.568,8.479,,-34.323,
N599/P,69211,,,,,
M1846/2,64612,4.488,4.838,,-7.238,
M1848/1,64615,0.011,0.089,,-87.873,
M1848/2,64618,8.183,10.810,,-24.296,
GOLFC/1,64621,44.715,35.068,,21.574,
M1848/3,64624,0.000,0.000,,,
M1846A/1,64627,0.000,0.000,,,
M1868/1,64630,0.000,0.000,,,
M1870/1,64633,7.900,9.038,,-12.592,
M1876/1,64639,17.239,18.605,,-7.341,
M1874/P,64645,,,,,
M1820/1,64651,0.000,0.000,,,
M1825B/P,67231,,,,,
M1825/2,69214,0.000,0.000,,,
M853/P,70321,,,,,
GUNC/P,64657,,,,,
M1850/1,64660,21.442,22.296,,-3.828,
M1850/2,64663,0.000,0.000,,,
M1852/P,70975,,,,,
M1867A/1,64666,0.000,0.000,,,
N560/P,64669,,,,,
M1853/1,64675,0.116,4.721,,-97.550,
M1866/1,64672,2.307,3.667,,-37.089,
M1853/2,64678,9.464,12.877,,-26.500,
M1853/3,64684,18.279,22.183,,-17.600,
M1858/1,69547,6.668,9.559,,-30.243,
M1854/1,64744,5.161,5.471,,-5.676,
M1854/2,64747,0.000,0.000,,,
M1864/1,64690,10.920,12.347,,-11.557,
M1862/1,69520,0.000,0.000,,,
M1865/1,64693,15.862,18.448,,-14.022,
M1867/1,64696,4.074,4.067,,0.153,
M1866/2,64699,8.456,10.301,,-17.914,
M1864/2,64702,9.500,13.855,,-31.433,
M1864/3,64705,5.600,8.845,,-36.687,
