System Efficiency between SCOTTS RD REGULATOR (29355) and T14/1 (65041)
for period 2020-02-16 00:00 to 2020-03-17 00:00

System Efficiency (%):, 87.8

Diverted (ML):, 3197.4 0.0
Delivered (ML):, 2806.5
Evaporative loss (ML):, 37.7
Rainfall (ML):, 12.2
Seepage loss (ML):, not yet implemented
Unaccounted loss (ML):, 365.5

Outlets
Telemetered:, 166
Manually read:, 51 
Unmetered sites:, 4
Total:, 221

outlet,object_id,RTU_totaliser (ML),flow_integral (ML),manual_reading (ML),diff,FG_calc (ML)
M1845/1,64603,0.001,0.093,,-99.243,
M1845A/P,64606,,,0.000,,
N134/P,148390,,,0.000,,
M1846/1,64609,1.993,2.886,,-30.968,
N599/P,69211,,,0.000,,
M1846/2,64612,1.173,3.433,,-65.834,
M1848/1,64615,0.001,0.798,,-99.925,
M1848/2,64618,0.000,1.010,,-99.980,
GOLFC/1,64621,18.213,13.656,,25.018,
M1848/3,64624,0.000,0.000,,,
M1846A/1,64627,0.000,0.279,,-100.000,
M1868/1,64630,0.000,0.000,,,
M1870/1,64633,3.032,3.391,,-10.583,
M1876/1,64639,6.612,10.106,,-34.568,
M1874/P,64645,,,0.000,,
M1820/1,64651,0.000,0.000,,,
M1825B/P,67231,,,0.000,,
M1825/2,69214,0.000,0.000,,,
M853/P,70321,,,0.000,,
GUNC/P,64657,,,0.000,,
M1850/1,64660,10.506,8.619,,17.965,
M1850/2,64663,0.000,0.000,,,
M1852/P,70975,,,0.000,,
M1867A/1,64666,0.000,0.000,,,
N560/P,64669,,,0.000,,
M1853/1,64675,0.021,0.545,,-96.102,
M1866/1,64672,1.150,-0.011,,100.976,
M1853/2,64678,3.834,1.734,,54.765,
M1853/3,64684,6.405,11.269,,-43.162,
M1858/1,69547,1.089,1.746,,-37.640,
M1854/1,64744,1.659,1.980,,-16.214,
M1854/2,64747,0.044,0.573,,-92.361,
M1864/1,64690,4.644,4.608,,0.790,
M1862/1,69520,0.000,0.000,,,
M1865/1,64693,2.426,2.451,,-1.027,
M1867/1,64696,0.000,0.000,,100.000,
M1866/2,64699,4.575,6.553,,-30.185,
M1864/2,64702,4.300,12.811,,-66.434,
M1864/3,64705,2.600,8.925,,-70.867,
M1866/3,64708,3.140,5.302,,-40.774,
M1876/2,64711,9.002,13.354,,-32.589,
M2560/1,64720,0.001,0.126,,-99.482,
M1887/P,64729,,,0.000,,
M1874A/1,64723,3.994,4.297,,-7.037,
M1885/1,64717,5.797,7.809,,-25.765,
M1884/1,64714,0.000,0.000,,,
M1855/1,64732,4.629,7.820,,-40.811,
M1830/2,64738,2.401,2.204,,8.213,
M1856/D,69550,,,0.000,,
M1857/1,69544,24.184,22.268,,7.921,
M1851/P,69541,,,0.000,,
M1857/2,69553,5.907,10.144,,-41.771,
M1860/1,67468,4.805,5.746,,-16.385,
M1854B/1,64741,0.005,1.233,,-99.611,
M1861/1,70399,0.133,0.083,,37.240,
N601/P,64753,,,0.000,,
M1865/2,64750,0.404,1.320,,-69.433,
M1882A/1,64756,11.366,15.569,,-26.993,
M1882B/D,219615,,,0.000,,
M1858/2,64759,1.459,1.248,,14.437,
M1859/1,70765,2.737,4.056,,-32.528,
M1860A/1,70768,3.661,4.826,,-24.142,
M1882/1,64768,0.001,0.000,,100.000,
M1896A/1,64771,5.900,4.807,,18.522,
M1895/1,69949,8.086,11.697,,-30.872,
MC10 ANDREATTAS ESCAPE,30252,0.000,0.000,,,
CAMPBELLS SWAMP,219709,0.000,0.000,,,
M1896/P,64777,,,0.000,,
M1895/2,64774,,,0.000,,
NERICON SWAMP,142432,,,0.000,,
M1893/1,67471,0.000,0.147,,-100.000,
M1891/1,64780,10.027,17.964,,-44.181,
M1891A/1,64783,7.400,5.817,,21.391,
M2785/1,64786,6.400,7.790,,-17.838,
M2699/1,67480,0.000,0.503,,-100.000,
M2784/1,64789,0.000,0.000,,,
M2783/1,67474,0.500,0.932,,-46.336,
M2699A/P,67477,,,0.000,,
MC10 CAMPBELLS SWAMP ESC,200872,0.000,0.039,,-100.000,
M2782/1,64792,6.900,6.841,,0.856,
N687/P,70324,,,0.000,,
M1844/1,70201,1.782,1.278,,28.308,
ESC L170,30417,,,,,
M1854A/1,69826,0.000,0.000,,,
M1898A/1,64795,1.900,1.737,,8.601,
N494/P,141317,,,0.000,,
M1898/P,201042,,,0.000,,
M1898/1,64807,1.000,3.059,,-67.315,
M1893/2,64804,1.200,3.680,,-67.394,
M2720/P,144910,,,0.000,,
M1893/4,64798,0.000,0.430,,-100.000,
M1893/5,64810,1.600,1.520,,5.031,
M2435/1,64813,0.000,0.000,,,
MC10 ESC L173,30502,,,,,
M2628/1,64819,0.000,0.000,,,
M1893/3,64801,,,0.000,,
M1893/P,206578,,,0.000,,
M2628/2,69466,0.000,0.000,,,
M2398B/1,70195,0.000,0.000,,,
M2398/1,70519,0.000,0.000,,,
M2398F/1,145474,,,1.900,,
M2398C/1,64825,0.000,0.039,,-98.865,
M2019/1,64822,3.288,4.102,,-19.833,
M2014/1,64828,0.000,0.000,,,
M2014/2,64831,0.000,0.000,,,
M1999/1,64834,0.014,0.505,,-97.230,
M1999/4,64837,0.000,0.000,,,
M2368A/1,69454,0.007,0.260,,-97.428,
M2014/3,64840,0.000,0.000,,,
M1999/2,64843,0.162,0.319,,-49.148,
M1999/3,64846,0.000,0.000,,,
M1997/1,64852,0.000,0.462,,-99.957,
M2583/2,64855,0.000,0.000,,,
M2583/1,64858,0.000,0.000,,,
M1988/1,67504,0.000,0.000,,,
M1988A/D,219467,,,0.000,,
M1986/1,64882,0.000,0.000,,,
M1986/2,64885,0.000,0.000,,,
M1985A/1,70492,66.665,66.698,,-0.050,
M2736/1,64891,0.000,0.000,,,
M2584/1,64888,0.000,0.000,,,
M1985B/D,206014,,,0.000,,
M1985C/1,70501,1.189,0.401,,66.239,
MC10 LAT 179 ESC,30773,,,,,
M2737/1,69838,,,0.000,,
M2368B/1,69445,,,0.000,,
PICNIC/1,145503,,,19.700,,
SAILING CLUB,64861,,,2.500,,
BOAT CLUB,70057,,,8.300,,
M2368B/2,69451,0.000,0.000,,,
M1165/1,64870,94.492,91.437,,3.233,
M1165/2,70912,,,0.000,,
M2674/P,142422,,,0.000,,
M1891B/D,208598,,,0.000,,
M1589/2,71170,,,0.000,,
M2737/2,64879,7.954,11.833,,-32.779,
M1988/2,64873,0.000,0.000,,,
M1988/3,64876,0.000,0.000,,,
M2368B/3,69442,,,18.800,,
M2398D/1,70015,42.600,39.405,,7.499,
M1998/1,67507,43.100,48.297,,-10.761,
M2628B/1,64894,0.000,0.000,,,
M2628C/D,206039,,,0.000,,
M2741/1,64897,0.000,0.000,,,
M2741/2,220363,,,2.000,,
M2741A/1,70360,,,2.000,,
N244/1,64900,11.759,16.253,,-27.652,
N605/1,64903,54.724,49.271,,9.966,
M2741A/2,64906,0.000,0.000,,,
M2045/1,64909,12.400,22.118,,-43.938,
M2628D/1,64915,0.400,2.153,,-81.418,
N604/1,64918,0.000,0.779,,-100.000,
M2628E/1,70198,,,0.000,,
M2043/1,64921,1.000,1.299,,-23.004,
M2038A/1,64927,0.900,-0.001,,100.110,
M2614/1,70216,10.600,10.963,,-3.315,
M2038/1,64924,0.900,1.413,,-36.303,
M2614/2,202028,,,7.700,,
M2615A/1,67510,17.900,16.876,,5.718,
M2038/2,64930,0.100,3.235,,-96.909,
N665/P,70693,,,0.000,,
M2615/D,70048,,,0.000,,
M2038C/1,64933,0.000,0.000,,,
M1631H/1,67513,13.300,11.543,,13.208,
M2038B/1,64936,0.100,0.000,,100.000,
M1997/2,64939,1.300,1.582,,-17.805,
M1997/3,64942,0.000,0.370,,-100.000,
M1985/1,64954,0.000,0.000,,,
M1631D/1,68062,0.000,0.000,,100.000,
MC10 TEMPORALIS ESCAPE,55372,0.000,0.000,,,
M2646/P,69469,,,0.000,,
M2628A/1,69475,19.770,25.519,,-22.529,
M2040A/1,69472,32.600,32.397,,0.622,
M2040/P,64960,,,0.000,,
M2743/1,70297,72.310,72.477,,-0.230,
M2041A/1,67516,15.953,21.174,,-24.659,
M1986/3,67519,0.000,0.000,,,
MC10 LAT 188 ESC,59753,,,,,
M2045A/1,64957,20.065,24.779,,-19.026,
N689/P,70438,,,0.000,,
N579/1,64966,3.000,3.879,,-22.661,
N566/1,64969,21.942,32.440,,-32.361,
M2041/1,214447,135.437,135.511,,-0.054,
M2041/2,71131,0.000,0.000,,,
N567/1,64972,1.000,1.014,,-1.356,
N568/1,64981,5.300,4.498,,15.140,
N569/1,64978,11.177,20.118,,-44.444,
N570/1,64975,22.400,21.874,,2.349,
N571/1,64984,9.400,10.385,,-9.489,
N572/1,64987,6.500,16.372,,-60.298,
N573/1,64996,13.300,13.195,,0.791,
N574/1,64993,25.000,27.830,,-10.170,
N575/1,64990,9.700,12.181,,-20.370,
N578/1,64999,3.600,3.069,,14.748,
MC10 NEWFARMS ESCAPE,31065,0.000,0.000,,,
N576/1,65002,29.600,30.118,,-1.719,
M1997/4,65005,0.000,0.000,,,
N577A/P,65008,,,0.000,,
N577/1,65011,15.800,19.751,,-20.006,
T16/1,67522,377.909,366.458,,3.030,
BWUA/1,65020,3.548,2.623,,26.079,
M2042/1,65014,62.800,62.805,,-0.008,
M2014A/1,65017,0.000,0.000,,,
T16A/1,141752,91.491,93.635,,-2.290,
T15C/1,69787,77.500,77.073,,0.550,
M2042A/1,70036,84.240,83.618,,0.739,
T17/1,69784,188.301,189.475,,-0.620,
T17/2,65026,107.400,109.013,,-1.479,
T15/1,65023,416.623,415.593,,0.247,
T15A/D,67528,,,0.000,,
T14C/P,70573,,,0.000,,
T17/3,214443,142.439,142.545,,-0.074,
T20B/1,65032,0.000,0.000,,,
T18/1,65029,0.000,0.000,,,
T18/2,65035,1.047,0.462,,55.850,
T20/1,65038,120.758,119.953,,0.667,
MC10 WILLIAMS ESCAPE,31175,0.000,0.000,,,
T20A/P,67531,,,0.000,,
T19A/1,69430,0.200,0.563,,-64.484,
T19/1,69433,0.000,0.000,,,
T14/1,65041,0.000,0.000,,,
, Total, 2743.6, 2867.1, 62.9, , 0.0

time of data collection: 2020-04-29 14:21

meters not read:
